--------------------------------------------
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:33 | Accion= Escribiendo | Mensaje= 0
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:24:38 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:24:43 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:46 | Accion= Escribiendo | Mensaje= 1
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:49 | Accion= Escribiendo | Mensaje= 2
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:52 | Accion= Escribiendo | Mensaje= 3
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:55 | Accion= Escribiendo | Mensaje= 4
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:24:58 | Accion= Escribiendo | Mensaje= 5
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:03 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:25:06 | Accion= Escribiendo | Mensaje= 6
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:11 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:16 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:21 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:25:24 | Accion= Escribiendo | Mensaje= 7
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:25:29 | Accion= Leyendo | Mensaje=  -Linea: 0 -PID: 1 -Hora y fecha: 2023-05-22 16:24:33
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:25:29 | Accion= Leyendo | Mensaje=  -Linea: 0 -PID: 1 -Hora y fecha: 2023-05-22 16:24:33
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:34 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:39 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:44 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 2
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:25:47 | Accion= Escribiendo | Mensaje= 2
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:52 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 4
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:25:57 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:26:02 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:05 | Accion= Escribiendo | Mensaje= 4
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:08 | Accion= Escribiendo | Mensaje= 8
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:26:13 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 7
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:16 | Accion= Escribiendo | Mensaje= 7
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:19 | Accion= Escribiendo | Mensaje= 9
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:22 | Accion= Escribiendo | Mensaje= 10
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:25 | Accion= Escribiendo | Mensaje= 11
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:28 | Accion= Escribiendo | Mensaje= 12
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:26:33 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:36 | Accion= Escribiendo | Mensaje= 13
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:26:41 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 2
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:26:44 | Accion= Escribiendo | Mensaje= 2
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:26:49 | Accion= Leyendo | Mensaje=  -Linea: 1 -PID: 7 -Hora y fecha: 2023-05-22 16:24:46
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:26:49 | Accion= Leyendo | Mensaje=  -Linea: 1 -PID: 7 -Hora y fecha: 2023-05-22 16:24:46
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:26:54 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 11
